,Date,Confirmed cases,Recovered Cases,Death Cases
0,1/22/20,0,0,0
1,1/23/20,0,0,0
2,1/24/20,0,0,0
3,1/25/20,0,0,0
4,1/26/20,0,0,0
5,1/27/20,0,0,0
6,1/28/20,0,0,0
7,1/29/20,0,0,0
8,1/30/20,0,0,0
9,1/31/20,0,0,0
10,2/1/20,0,0,0
11,2/2/20,0,0,0
12,2/3/20,0,0,0
13,2/4/20,0,0,0
14,2/5/20,0,0,0
15,2/6/20,0,0,0
16,2/7/20,0,0,0
17,2/8/20,0,0,0
18,2/9/20,0,0,0
19,2/10/20,0,0,0
20,2/11/20,0,0,0
21,2/12/20,0,0,0
22,2/13/20,0,0,0
23,2/14/20,0,0,0
24,2/15/20,0,0,0
25,2/16/20,0,0,0
26,2/17/20,0,0,0
27,2/18/20,0,0,0
28,2/19/20,0,0,0
29,2/20/20,0,0,0
30,2/21/20,0,0,0
31,2/22/20,0,0,0
32,2/23/20,0,0,0
33,2/24/20,0,0,0
34,2/25/20,0,0,0
35,2/26/20,0,0,0
36,2/27/20,0,0,0
37,2/28/20,1,0,0
38,2/29/20,1,0,0
39,3/1/20,1,0,0
40,3/2/20,1,0,0
41,3/3/20,1,0,0
42,3/4/20,1,0,0
43,3/5/20,1,0,0
44,3/6/20,1,0,0
45,3/7/20,1,0,0
46,3/8/20,1,0,0
47,3/9/20,2,0,0
48,3/10/20,2,0,0
49,3/11/20,2,0,0
50,3/12/20,2,0,0
51,3/13/20,2,0,0
52,3/14/20,2,0,0
53,3/15/20,2,0,0
54,3/16/20,2,0,0
55,3/17/20,3,0,0
56,3/18/20,8,1,0
57,3/19/20,8,1,0
58,3/20/20,12,1,0
59,3/21/20,22,1,0
60,3/22/20,30,2,0
61,3/23/20,40,2,1
62,3/24/20,44,2,1
63,3/25/20,51,2,1
64,3/26/20,65,2,1
65,3/27/20,70,3,1
66,3/28/20,89,3,1
67,3/29/20,111,3,1
68,3/30/20,131,8,2
69,3/31/20,135,8,2
70,4/1/20,174,9,2
71,4/2/20,184,20,2
72,4/3/20,210,25,4
73,4/4/20,214,25,4
74,4/5/20,232,33,5
75,4/6/20,238,35,5
76,4/7/20,254,44,6
77,4/8/20,276,44,6
78,4/9/20,288,51,7
79,4/10/20,305,58,7
80,4/11/20,318,70,10
81,4/12/20,323,85,10
82,4/13/20,343,91,10
83,4/14/20,373,99,11
84,4/15/20,407,128,12
85,4/16/20,442,152,13
86,4/17/20,493,159,17
87,4/18/20,542,166,19
88,4/19/20,627,170,21
89,4/20/20,665,188,22
90,4/21/20,665,188,22
91,4/22/20,873,197,28
92,4/23/20,981,197,31
93,4/24/20,1095,208,32
94,4/25/20,1182,222,35
95,4/26/20,1273,239,40
96,4/27/20,1337,255,40
97,4/28/20,1532,255,44
98,4/29/20,1728,307,51
99,4/30/20,1932,319,58
100,5/1/20,2170,351,68
101,5/2/20,2388,351,85
102,5/3/20,2558,400,87
103,5/4/20,2802,417,93
104,5/5/20,2950,481,98
105,5/6/20,3145,534,103
106,5/7/20,3526,601,107
107,5/8/20,3912,679,117
108,5/9/20,4151,745,128
109,5/10/20,4399,778,143
110,5/11/20,4641,902,150
111,5/12/20,4787,959,158
112,5/13/20,4971,1070,164
113,5/14/20,5162,1180,167
114,5/15/20,5450,1320,171
115,5/16/20,5621,1472,176
116,5/17/20,5959,1594,182
117,5/18/20,6175,1644,191
118,5/19/20,6401,1734,192
119,5/20/20,6677,1840,200
120,5/21/20,7016,1907,211
121,5/22/20,7261,2007,221
122,5/23/20,7526,2174,221
123,5/24/20,7839,2263,226
124,5/25/20,8068,2311,233
125,5/26/20,8344,2385,249
126,5/27/20,8733,2501,254
127,5/28/20,8915,2592,259
128,5/29/20,9302,2697,261
129,5/30/20,9855,2856,273
130,5/31/20,10162,3007,287
131,6/1/20,10578,3122,299
132,6/2/20,10819,3240,314
133,6/3/20,11166,3329,315
134,6/4/20,11516,3535,323
135,6/5/20,11844,3696,333
136,6/6/20,12233,3826,342
137,6/7/20,12486,3959,354
138,6/8/20,12801,4040,361
139,6/9/20,13464,4206,365
140,6/10/20,13873,4351,382
141,6/11/20,14554,4494,387
142,6/12/20,15181,4891,399
143,6/13/20,15682,5101,407
144,6/14/20,16085,5220,420
145,6/15/20,16658,5349,424
146,6/16/20,17148,5623,455
147,6/17/20,17735,5967,469
148,6/18/20,18480,6307,475
149,6/19/20,19147,6581,487
150,6/20/20,19808,6718,506
151,6/21/20,20244,6879,518
152,6/22/20,20919,7109,525
153,6/23/20,21371,7338,533
154,6/24/20,22020,7613,542
155,6/25/20,22614,7822,549
156,6/26/20,23298,8253,554
157,6/27/20,24077,8625,558
